         76344418 function calls (76150995 primitive calls) in 119.043 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   595504    0.613    0.000    0.613    0.000 {built-in method _bisect.bisect_left}
   693561    0.571    0.000    0.571    0.000 {method 'copy' of 'numpy.ndarray' objects}
   687586    0.557    0.000    0.557    0.000 {built-in method numpy.array}
  1191008    0.551    0.000    0.551    0.000 {method 'insert' of 'list' objects}
    33340    0.132    0.000    0.505    0.000 {method 'update' of 'set' objects}
   691168    0.481    0.000    0.503    0.000 {built-in method builtins.sorted}
   598856    0.180    0.000    0.495    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:356(this_label_dominates_input)
  1374552    0.483    0.000    0.483    0.000 {built-in method numpy.zeros}
    24321    0.102    0.000    0.357    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:58(this_state_dominates_input_state)
  1690661    0.349    0.000    0.349    0.000 {method 'add' of 'set' objects}
  1091760    0.285    0.000    0.285    0.000 {method 'copy' of 'list' objects}
  1430464    0.279    0.000    0.279    0.000 {method 'items' of 'dict' objects}
  2246605    0.251    0.000    0.251    0.000 {method 'keys' of 'dict' objects}
   722114    0.245    0.000    0.245    0.000 {method 'intersection' of 'set' objects}
  2067470    0.242    0.000    0.242    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:741(dot)
      612    0.014    0.000    0.218    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:605(_swap)
      595    0.002    0.000    0.208    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:21(__init__)
      675    0.003    0.000    0.206    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:147(verify_feasibility)
     3252    0.004    0.000    0.203    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:360(check_valid)
  1408756    0.184    0.000    0.184    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2317(_any_dispatcher)
   320990    0.182    0.000    0.182    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:681(<genexpr>)
   331233    0.107    0.000    0.152    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:347(__hash__)
        1    0.008    0.008    0.147    0.147 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:371(solve_ilp)
   573913    0.141    0.000    0.141    0.000 {method 'remove' of 'list' objects}
       47    0.007    0.000    0.127    0.003 {method 'acquire' of '_thread.lock' objects}
    24321    0.052    0.000    0.118    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2378(array_equal)
      163    0.096    0.001    0.096    0.001 {method 'addVariable' of 'xpress.problem' objects}
    44395    0.090    0.000    0.095    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:676(<genexpr>)
   690528    0.095    0.000    0.095    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:20(__eq__)
   192530    0.053    0.000    0.079    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_sortedObject_list.py:57(__len__)
   687276    0.076    0.000    0.076    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:63(_zeros_like_dispatcher)
    24324    0.017    0.000    0.075    0.000 {method 'min' of 'numpy.ndarray' objects}
      199    0.009    0.000    0.073    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:125(_compute_action_reduced_costs)
   687276    0.072    0.000    0.072    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
      243    0.010    0.000    0.067    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:668(add_route)
   687276    0.064    0.000    0.064    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:85(empty_like)
    24324    0.009    0.000    0.059    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:43(_amin)
    24321    0.014    0.000    0.058    0.000 {method 'sum' of 'numpy.ndarray' objects}
    24321    0.015    0.000    0.055    0.000 {method 'all' of 'numpy.ndarray' objects}
      172    0.028    0.000    0.054    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:278(_update_sorted_node_with_k)
     2919    0.053    0.000    0.053    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:59(get_red_cost)
    44395    0.051    0.000    0.051    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:670(<genexpr>)
      119    0.001    0.000    0.050    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:498(convert_2_route)
      446    0.001    0.000    0.048    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:1487(_array_repr_implementation)
       82    0.047    0.001    0.047    0.001 {method 'addConstraint' of 'xpress.problem' objects}
      446    0.001    0.000    0.047    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:561(array2string)
        1    0.001    0.001    0.044    0.044 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_solver.py:200(_initial_routes)
    24321    0.007    0.000    0.044    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:47(_sum)
      446    0.001    0.000    0.042    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:506(wrapper)
    24321    0.008    0.000    0.041    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:61(_all)
      446    0.002    0.000    0.040    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:523(_array2string)
    43583    0.039    0.000    0.039    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:666(<genexpr>)
        1    0.000    0.000    0.033    0.033 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:13(__init__)
       74    0.021    0.000    0.029    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:562(get_active_DOI)
      446    0.002    0.000    0.027    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:452(_get_format_function)
        1    0.023    0.023    0.027    0.027 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:45(_generate_rho)
      446    0.001    0.000    0.024    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:411(<lambda>)
    33487    0.023    0.000    0.023    0.000 {method 'union' of 'set' objects}
      446    0.001    0.000    0.023    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\arrayprint.py:907(__init__)
