         154197361 function calls (153823548 primitive calls) in 260.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1278906   31.138    0.000   43.434    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:17(__init__)
       99   24.395    0.246   24.397    0.246 {method 'solve' of 'xpress.problem' objects}
  3542392   19.374    0.000   21.640    0.000 {built-in method builtins.sum}
  2402732   18.895    0.000   32.952    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:204(calculate_better_lb_2)
  1292069   13.215    0.000   23.113    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:8(__init__)
  3526591   12.476    0.000   18.811    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:101(calculate_red_cost_given_dual)
  2032312    9.987    0.000    9.987    0.000 {built-in method builtins.hash}
       33    8.363    0.253  200.434    6.074 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:275(find_min_reduced_cost_path)
  1290794    8.354    0.000   13.069    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:341(fast_max_res_apply)
  1440157    7.199    0.000   13.726    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:311(violates_min_resources)
    81806    6.996    0.000    7.045    0.000 {built-in method builtins.print}
  1427835    6.260    0.000  115.549    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:351(expand_given_action)
  1290794    5.683    0.000    6.839    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:187(_get_head_stat_vec)
  1596466    5.623    0.000    5.623    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
   211935    5.431    0.000    5.431    0.000 {method 'getSolution' of 'xpress.problem' objects}
   737582    5.287    0.000    5.287    0.000 {method 'pop' of 'list' objects}
  1440157    5.184    0.000   61.904    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:196(get_head_state_fast_load_ai)
       33    4.645    0.141    5.494    0.166 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:604(pre_process__partition_actions)
  2882746    4.570    0.000    4.570    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1163156    3.899    0.000    4.057    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:103(comp_red_cost)
29475695/29102742    3.891    0.000    3.997    0.000 {built-in method builtins.len}
 26792577    3.831    0.000    3.831    0.000 {method 'append' of 'list' objects}
  2732839    3.727    0.000    8.644    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
  1278873    3.630    0.000    4.421    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:67(zeros_like)
      502    3.552    0.007   22.694    0.045 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:225(update_red_cost_and_lb)
      502    3.396    0.007    8.401    0.017 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:584(_remove_labels_with_positive_lb)
 14664548    2.266    0.000    2.266    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:105(<genexpr>)
  2730951    2.217    0.000   10.846    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2322(any)
        1    1.905    1.905    1.905    1.905 {built-in method _xpress._init}
       33    1.903    0.058    2.357    0.071 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:168(initiate_RCP_d)
  1596466    1.708    0.000    7.495    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:85(label_2_tuple)
  1492683    1.507    0.000    1.507    0.000 {built-in method _bisect.bisect_left}
  2985366    1.346    0.000    1.346    0.000 {method 'insert' of 'list' objects}
   368791    1.344    0.000    3.513    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:637(get_actions_from_label_2)
  1279543    1.164    0.000    1.164    0.000 {built-in method numpy.array}
  1290794    1.156    0.000    1.156    0.000 {method 'copy' of 'numpy.ndarray' objects}
  1492683    1.055    0.000    3.908    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_sortedObject_list.py:10(insert)
  1285660    1.055    0.000    1.101    0.000 {built-in method builtins.sorted}
  1493089    0.985    0.000    2.042    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_eff_fronteir.py:34(alter_fronteir_given_new_element)
  2557747    0.935    0.000    0.935    0.000 {built-in method numpy.zeros}
       98    0.875    0.009   19.371    0.198 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:92(_construct_problem)
  3160673    0.709    0.000    0.709    0.000 {method 'add' of 'set' objects}
  2089859    0.703    0.000    0.703    0.000 {method 'intersection' of 'set' objects}
  2400550    0.690    0.000    0.690    0.000 {method 'copy' of 'list' objects}
  4684434    0.616    0.000    0.616    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:741(dot)
  2761192    0.590    0.000    0.590    0.000 {method 'items' of 'dict' objects}
    87385    0.435    0.000    0.448    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:675(<genexpr>)
  1495310    0.419    0.000    1.043    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:293(this_label_dominates_input)
   718394    0.407    0.000    0.407    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:680(<genexpr>)
  2730951    0.396    0.000    0.396    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2317(_any_dispatcher)
  2981582    0.369    0.000    0.369    0.000 {method 'keys' of 'dict' objects}
  1221916    0.347    0.000    0.347    0.000 {method 'remove' of 'list' objects}
   740243    0.323    0.000    0.411    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:358(__hash__)
       33    0.322    0.010   26.843    0.813 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:233(solve_2)
        1    0.315    0.315  260.128  260.128 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_solver.py:227(solve)
