         6883438 function calls (6872947 primitive calls) in 13.952 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    961/3    3.506    0.004    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    1.862    1.862    1.862    1.862 {built-in method _xpress._init}
    53999    0.823    0.000    1.282    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:17(__init__)
   118784    0.612    0.000    1.226    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:204(calculate_better_lb_2)
   183580    0.598    0.000    0.860    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:101(calculate_red_cost_given_dual)
   185201    0.583    0.000    0.670    0.000 {built-in method builtins.sum}
     4294    0.406    0.000    0.406    0.000 {built-in method builtins.print}
    55800    0.359    0.000    0.539    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:341(fast_max_res_apply)
    73517    0.345    0.000    0.627    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:311(violates_min_resources)
      231    0.295    0.001   15.820    0.068 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
    80035    0.251    0.000    0.251    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    55985    0.239    0.000    0.380    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:8(__init__)
    71677    0.230    0.000    3.686    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:351(expand_given_action)
    73517    0.216    0.000    2.041    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:196(get_head_state_fast_load_ai)
    55800    0.212    0.000    0.283    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:187(_get_head_stat_vec)
       32    0.199    0.006    0.199    0.006 {method 'solve' of 'xpress.problem' objects}
    19297    0.198    0.000    0.198    0.000 {method 'getSolution' of 'xpress.problem' objects}
   137230    0.190    0.000    0.190    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    47760    0.164    0.000    0.170    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:103(comp_red_cost)
    53988    0.161    0.000    0.190    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:67(zeros_like)
  179/120    0.158    0.001   24.821    0.207 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
        6    0.154    0.026    0.154    0.026 {method 'recv' of '_socket.socket' objects}
   129406    0.153    0.000    0.356    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
   112939    0.147    0.000    0.147    0.000 {built-in method builtins.hash}
1230540/1221066    0.142    0.000    0.144    0.000 {built-in method builtins.len}
   995007    0.127    0.000    0.127    0.000 {method 'append' of 'list' objects}
      107    0.105    0.001    0.272    0.003 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:584(_remove_labels_with_positive_lb)
      107    0.092    0.001    0.674    0.006 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:225(update_red_cost_and_lb)
   129317    0.091    0.000    0.446    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2322(any)
       11    0.088    0.008    0.111    0.010 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:604(pre_process__partition_actions)
   713725    0.087    0.000    0.087    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:105(<genexpr>)
    80035    0.074    0.000    0.331    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:85(label_2_tuple)
    55800    0.070    0.000    0.070    0.000 {method 'copy' of 'numpy.ndarray' objects}
       31    0.068    0.002    0.458    0.015 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:92(_construct_problem)
    74089    0.058    0.000    0.058    0.000 {built-in method _bisect.bisect_left}
      114    0.057    0.001   28.400    0.249 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
       11    0.050    0.005    0.063    0.006 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:168(initiate_RCP_d)
    74089    0.047    0.000    0.143    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_sortedObject_list.py:10(insert)
    54153    0.044    0.000    0.044    0.000 {built-in method numpy.array}
     9282    0.044    0.000    0.144    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:637(get_actions_from_label_2)
    74165    0.042    0.000    0.080    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_eff_fronteir.py:34(alter_fronteir_given_new_element)
    54849    0.041    0.000    0.043    0.000 {built-in method builtins.sorted}
   148178    0.038    0.000    0.038    0.000 {method 'insert' of 'list' objects}
   107977    0.037    0.000    0.037    0.000 {built-in method numpy.zeros}
   110451    0.032    0.000    0.032    0.000 {method 'intersection' of 'set' objects}
    18564    0.031    0.000    0.031    0.000 {method 'pop' of 'list' objects}
   118603    0.029    0.000    0.029    0.000 {method 'copy' of 'list' objects}
   230768    0.025    0.000    0.025    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:741(dot)
   117115    0.025    0.000    0.025    0.000 {method 'add' of 'set' objects}
   132452    0.025    0.000    0.025    0.000 {method 'items' of 'dict' objects}
       11    0.023    0.002    0.649    0.059 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:275(find_min_reduced_cost_path)
     5260    0.021    0.000    0.072    0.000 {method 'update' of 'set' objects}
    55054    0.020    0.000    0.020    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:680(<genexpr>)
    56950    0.020    0.000    0.027    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:358(__hash__)
    73870    0.017    0.000    0.038    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:293(this_label_dominates_input)
   129317    0.016    0.000    0.016    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2317(_any_dispatcher)
   118199    0.015    0.000    0.015    0.000 {method 'keys' of 'dict' objects}
       63    0.011    0.000    0.011    0.000 {method 'addVariable' of 'xpress.problem' objects}
     2606    0.010    0.000    0.034    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:58(this_state_dominates_input_state)
     7156    0.008    0.000    0.009    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:675(<genexpr>)
      107    0.008    0.000    0.012    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:265(_update_sorted_node_with_k)
     9282    0.007    0.000    0.038    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_sortedObject_list.py:27(pop)
    55111    0.007    0.000    0.007    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:20(__eq__)
       31    0.007    0.000    0.685    0.022 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:180(solve)
    24919    0.007    0.000    0.007    0.000 {method 'remove' of 'list' objects}
       11    0.006    0.001    2.532    0.230 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:233(solve_2)
    53988    0.006    0.000    0.006    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:63(_zeros_like_dispatcher)
    53988    0.005    0.000    0.005    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
       32    0.005    0.000    0.005    0.000 {method 'addConstraint' of 'xpress.problem' objects}
     2606    0.005    0.000    0.011    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2378(array_equal)
    53988    0.005    0.000    0.005    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:85(empty_like)
      458    0.004    0.000    0.004    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:59(get_red_cost)
       11    0.004    0.000    0.139    0.013 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:22(__init__)
      118    0.004    0.000    0.029    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:115(_compute_action_reduced_costs)
     5344    0.004    0.000    0.004    0.000 {method 'union' of 'set' objects}
     7156    0.004    0.000    0.004    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:666(<genexpr>)
      115    0.003    0.000    0.033    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:666(add_route)
