sequence_of_nodes,cost
"-1,238,144,280,680,544,638,-2",2455.541049589411
"-1,317,289,253,653,689,717,-2",1727.2686359884228
"-1,322,323,364,764,722,723,-2",1606.9380004940058
"-1,373,372,208,772,608,773,-2",2351.2546973598874
"-1,337,301,299,699,701,737,-2",1447.0390073615272
"-1,140,185,241,641,585,540,-2",2700.389262637931
"-1,72,204,123,523,604,472,-2",2261.231757213289
"-1,47,8,55,455,408,447,-2",1584.155539554487
"-1,36,106,157,557,436,506,-2",1761.6075506471311
"-1,209,184,166,584,609,566,-2",1417.8777105855768
"-1,139,203,112,512,603,539,-2",1573.129954923841
"-1,197,303,334,734,703,597,-2",1803.5760725310333
"-1,101,234,224,624,501,634,-2",2667.1792117240266
"-1,46,91,120,491,520,446,-2",2650.2858861466766
"-1,31,26,111,431,426,511,-2",1870.349449709749
"-1,59,215,353,753,459,615,-2",1933.7855013820295
"-1,326,104,103,503,726,504,-2",1648.2050731437207
"-1,193,267,300,700,667,593,-2",1735.6803977045413
"-1,32,5,99,499,405,432,-2",1486.0066822472168
"-1,150,130,90,530,490,550,-2",2105.582147528318
"-1,293,281,324,724,681,693,-2",1975.0542145135419
"-1,214,78,37,437,614,478,-2",2655.259661515761
"-1,275,290,6,406,675,690,-2",2543.8307751768
"-1,179,163,211,611,579,563,-2",2556.5449980888247
"-1,57,42,45,442,445,457,-2",862.1035467308617
"-1,252,309,287,687,652,709,-2",2377.22450020994
