sequence_of_nodes,cost
"-1,736,194,376,1376,1194,1736,-2",1456.541885306964
"-1,86,187,761,1761,1187,1086,-2",1604.7149808955887
"-1,681,822,882,1882,1681,1822,-2",1992.593041793887
"-1,270,728,313,1313,1728,1270,-2",1762.7530785595086
"-1,207,901,943,1901,1943,1207,-2",1303.7183752176609
"-1,179,279,717,1717,1179,1279,-2",2344.2128008970712
"-1,834,666,667,1834,1667,1666,-2",1599.9706076949426
"-1,987,794,430,1794,1987,1430,-2",1853.7763362562905
"-1,485,264,578,1578,1264,1485,-2",1961.7856829881061
"-1,628,53,644,1628,1644,1053,-2",1867.1145825190968
"-1,990,387,845,1990,1387,1845,-2",1645.8552729264015
"-1,248,965,312,1312,1248,1965,-2",1378.7127380541679
"-1,241,836,739,1836,1241,1739,-2",1866.1176631886808
"-1,60,68,123,1068,1123,1060,-2",1797.6156971488756
"-1,80,653,90,1090,1653,1080,-2",1818.7940555140024
"-1,134,604,595,1604,1134,1595,-2",2253.223569846911
"-1,180,781,698,1180,1781,1698,-2",1992.2554759605523
"-1,374,874,512,1374,1512,1874,-2",1607.5856730211854
"-1,799,619,224,1224,1799,1619,-2",1954.3025711702335
"-1,621,573,525,1525,1621,1573,-2",1689.8640363993643
"-1,692,938,208,1938,1692,1208,-2",1526.605013128354
"-1,408,580,630,1630,1408,1580,-2",1079.3154645704728
"-1,186,258,733,1733,1186,1258,-2",1232.0567053577236
"-1,26,469,546,1026,1546,1469,-2",2324.3350264262044
"-1,191,958,520,1520,1958,1191,-2",2265.231849645592
"-1,828,242,925,1925,1242,1828,-2",1902.888959848728
"-1,238,144,636,1238,1144,1636,-2",2383.9177383393285
"-1,64,705,629,1705,1064,1629,-2",2267.688399631657
"-1,366,523,105,1105,1366,1523,-2",1916.2742280133004
"-1,317,451,43,1317,1451,1043,-2",2122.9489549165683
"-1,162,701,269,1269,1162,1701,-2",2035.9617661761156
"-1,645,809,540,1540,1645,1809,-2",2221.9220132391765
"-1,193,267,697,1697,1267,1193,-2",1746.5083632703142
"-1,62,147,626,1626,1147,1062,-2",2106.354984338262
"-1,49,384,800,1384,1800,1049,-2",2006.7123035014947
"-1,337,301,299,1299,1301,1337,-2",1447.0390073615272
"-1,202,76,109,1076,1109,1202,-2",982.5007364398525
"-1,906,209,259,1259,1906,1209,-2",1377.192727202856
"-1,177,295,311,1311,1177,1295,-2",1095.423911032417
