         201653 function calls (200532 primitive calls) in 12.581 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    867/3    8.019    0.009    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
  160/116    1.876    0.012    8.428    0.073 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
        2    1.865    0.933    1.865    0.933 {built-in method _xpress._init}
       20    0.404    0.020    0.404    0.020 {method 'recv' of '_socket.socket' objects}
       22    0.084    0.004    0.085    0.004 {method 'solve' of 'xpress.problem' objects}
      953    0.075    0.000    0.078    0.000 {built-in method builtins.print}
       21    0.020    0.001    0.043    0.002 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:84(_construct_problem)
      196    0.018    0.000    8.315    0.042 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
      2/1    0.017    0.008    0.017    0.017 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_solver.py:226(solve)
     1096    0.016    0.000    0.017    0.000 {built-in method builtins.sum}
     1311    0.012    0.000    0.027    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\traceback.py:1129(_levenshtein_distance)
     1855    0.008    0.000    0.008    0.000 {method 'getSolution' of 'xpress.problem' objects}
     1247    0.007    0.000    0.012    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:312(violates_min_resources)
      510    0.006    0.000    0.011    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:17(__init__)
      797    0.006    0.000    0.009    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:342(fast_max_res_apply)
    29522    0.005    0.000    0.005    0.000 {built-in method builtins.min}
    14099    0.005    0.000    0.009    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\traceback.py:1059(_substitution_cost)
      685    0.005    0.000    0.009    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:204(calculate_better_lb_2)
       72    0.004    0.000    0.005    0.000 {method 'sendall' of '_socket.socket' objects}
     2684    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1247    0.004    0.000    0.032    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:196(get_head_state_fast_load_ai)
      870    0.004    0.000    0.005    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:101(calculate_red_cost_given_dual)
    28000    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
27642/27501    0.003    0.000    0.004    0.000 {built-in method builtins.len}
    22369    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       10    0.003    0.000    0.004    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:169(initiate_RCP_d)
       10    0.003    0.000    0.074    0.007 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:314(find_min_reduced_cost_path)
      797    0.003    0.000    0.004    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:187(_get_head_stat_vec)
       10    0.003    0.000    0.004    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:673(pre_process__partition_actions)
     2102    0.003    0.000    0.006    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
      938    0.003    0.000    0.039    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:351(expand_given_action)
       23    0.002    0.000    0.002    0.000 {built-in method nt.stat}
      846    0.002    0.000    0.003    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:8(__init__)
      473    0.002    0.000    0.002    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:103(comp_red_cost)
       43    0.002    0.000    0.002    0.000 {method 'addVariable' of 'xpress.problem' objects}
      197    0.002    0.000    0.002    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\threading.py:311(_acquire_restore)
      338    0.002    0.000    0.002    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    11/10    0.002    0.000    0.141    0.014 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:280(solve_2)
      500    0.002    0.000    0.002    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:67(zeros_like)
