         370323934 function calls (362937658 primitive calls) in 471.740 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1009765    0.820    0.000    0.820    0.000 {built-in method numpy.array}
  1017356    0.818    0.000    0.818    0.000 {method 'copy' of 'numpy.ndarray' objects}
   830178    0.811    0.000    0.811    0.000 {built-in method _bisect.bisect_left}
       20    0.717    0.036    0.793    0.040 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:30(_generate_rho)
  2050406    0.714    0.000    0.714    0.000 {built-in method numpy.zeros}
  1660356    0.690    0.000    0.690    0.000 {method 'insert' of 'list' objects}
  1158548    0.621    0.000    0.621    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:738(<genexpr>)
  1265618    0.544    0.000    0.544    0.000 {method 'intersection' of 'set' objects}
   830178    0.543    0.000    2.044    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_sortedObject_list.py:10(insert)
   830455    0.535    0.000    1.475    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_eff_fronteir.py:34(alter_fronteir_given_new_element)
   175916    0.508    0.000    0.531    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:733(<genexpr>)
   149672    0.495    0.000    1.804    0.000 {method 'update' of 'set' objects}
  2115815    0.470    0.000    0.470    0.000 {method 'add' of 'set' objects}
  1625409    0.465    0.000    0.465    0.000 {method 'copy' of 'list' objects}
  1184792    0.456    0.000    0.600    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:359(__hash__)
  3086823    0.400    0.000    0.400    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:741(dot)
   126920    0.352    0.000    0.421    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\mps_lp.py:284(writeMPSColumnLines)
       59    0.317    0.005    1.314    0.022 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\mps_lp.py:201(writeMPS)
  2377391    0.316    0.000    0.316    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2317(_any_dispatcher)
   835172    0.256    0.000    0.929    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:298(this_label_dominates_input)
  1900742    0.245    0.000    0.245    0.000 {method 'keys' of 'dict' objects}
      118    0.233    0.002    0.331    0.003 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1705(variablesDict)
        1    0.226    0.226  471.740  471.740 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_solver.py:224(solve)
    47773    0.224    0.000    0.739    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:58(this_state_dominates_input_state)
       59    0.201    0.003    0.286    0.005 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\apis\coin_api.py:237(readsol_MPS)
   637751    0.172    0.000    0.172    0.000 {method 'remove' of 'list' objects}
    12779    0.161    0.000    0.268    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1682(addVariables)
   175349    0.141    0.000    2.557    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_sortedObject_list.py:27(pop)
   704326    0.141    0.000    0.141    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:281(<genexpr>)
   704326    0.136    0.000    0.136    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:280(<genexpr>)
  1014325    0.133    0.000    0.133    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:20(__eq__)
  1009309    0.118    0.000    0.118    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:63(_zeros_like_dispatcher)
  1762977    0.113    0.000    0.113    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:195(getName)
       19    0.113    0.006    4.762    0.251 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:299(solve_2)
  1009309    0.110    0.000    0.110    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
    47773    0.106    0.000    0.234    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2378(array_equal)
   150056    0.102    0.000    0.102    0.000 {method 'union' of 'set' objects}
  1009309    0.099    0.000    0.099    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:85(empty_like)
       59    0.096    0.002    0.096    0.002 {built-in method _winapi.CreateProcess}
   134834    0.090    0.000    0.110    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:759(addterm)
   175916    0.088    0.000    0.088    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:724(<genexpr>)
        1    0.083    0.083    6.779    6.779 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:175(solve_ilp)
   465414    0.066    0.000    0.072    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1672(addVariable)
       19    0.066    0.003    4.387    0.231 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:22(__init__)
      708    0.064    0.000    0.064    0.000 {built-in method _codecs.charmap_encode}
       20    0.063    0.003    0.083    0.004 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:47(_generate_col_coeff)
    74836    0.062    0.000    0.062    0.000 {method 'difference' of 'set' objects}
   382414    0.050    0.000    0.050    0.000 {method 'extend' of 'list' objects}
     2728    0.050    0.000    0.050    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:59(get_red_cost)
   175916    0.049    0.000    0.049    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:728(<genexpr>)
      236    0.049    0.000    0.049    0.000 {built-in method nt.remove}
       59    0.048    0.001    0.297    0.005 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1619(normalisedNames)
   177448    0.047    0.000    0.072    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_sortedObject_list.py:57(__len__)
